PSML_position_x,PSML_position_y,PSML_position_z,PSML_velocity_x,PSML_velocity_y,PSML_velocity_z,PSML_orientation_x,PSML_orientation_y,PSML_orientation_z,PSML_orientation_w,PSML_gripper_angle,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSMR_velocity_x,PSMR_velocity_y,PSMR_velocity_z,PSMR_orientation_x,PSMR_orientation_y,PSMR_orientation_z,PSMR_orientation_w,PSMR_gripper_angle,L_Gripper_X,L_Gripper_Y,R_Gripper_X,R_Gripper_Y,Needle_X,Needle_Y,Thread_1_X,Thread_1_Y,Thread_2_X,Thread_2_Y,Thread_3_X,Thread_3_Y,Thread_4_X,Thread_4_Y,Thread_5_X,Thread_5_Y,left_holding,left_contact,right_holding,right_contact,needle_state,label
0.089398,0.045767,-0.021503,0,0,0,-0.076390398,-0.131168299,0.519486632,0.840888235,-0.874277,0.028169,0.025886,0.000205,0,0,0,-0.042727632,0.186871003,-0.399463529,0.896483389,-0.786368,238.3,182.2741176,500.8965217,364.0069565,464.275,384.405,461.07,417.56,458.2823305,435.0263489,449.7497178,450.3936124,440.480614,465.4525434,430.42,480,0,0,0,2,2,-
0.089398,0.045767,-0.021503,0,0,0,-0.076390398,-0.131168299,0.519486632,0.840888235,-0.874277,0.028169,0.025886,0.000205,0,0,0,-0.042727632,0.186871003,-0.399463529,0.896483389,-0.786368,238.3,182.2741176,500.8965217,364.0069565,464.275,384.405,461.07,417.56,458.2823305,435.0263489,449.7497178,450.3936124,440.480614,465.4525434,430.42,480,0,0,0,2,2,-
0.089398,0.045767,-0.021503,0,0,0,-0.076390398,-0.131168299,0.519486632,0.840888235,-0.874277,0.028169,0.025886,0.000205,0,0,0,-0.042727632,0.186871003,-0.399463529,0.896483389,-0.786368,238.3,182.2741176,500.8965217,364.0069565,464.275,384.405,461.07,417.56,458.2823305,435.0263489,449.7497178,450.3936124,440.480614,465.4525434,430.42,480,0,0,0,2,2,-
0.089398,0.045767,-0.021503,0,0,0,-0.076390398,-0.131168299,0.519486632,0.840888235,-0.874277,0.028169,0.025886,0.000205,0,0,0,-0.042727632,0.186871003,-0.399463529,0.896483389,-0.786368,238.3,182.2741176,500.8965217,364.0069565,464.275,384.405,461.07,417.56,458.2823305,435.0263489,449.7497178,450.3936124,440.480614,465.4525434,430.42,480,0,0,0,2,2,-
0.089398,0.045767,-0.021503,0,0,0,-0.076390398,-0.131168299,0.519486632,0.840888235,-0.874277,0.028169,0.025886,0.000205,0,0,0,-0.042727632,0.186871003,-0.399463529,0.896483389,-0.786368,238.3,182.2741176,500.8965217,364.0069565,464.275,384.405,461.07,417.56,458.2823305,435.0263489,449.7497178,450.3936124,440.480614,465.4525434,430.42,480,0,0,0,2,2,-
0.089398,0.045767,-0.021503,0,0,0,-0.076390398,-0.131168299,0.519486632,0.840888235,-0.874277,0.028169,0.025886,0.000205,0,0,0,-0.042727632,0.186871003,-0.399463529,0.896483389,-0.786368,238.3,182.2741176,500.8965217,364.0069565,464.275,384.405,461.07,417.56,458.2823305,435.0263489,449.7497178,450.3936124,440.480614,465.4525434,430.42,480,0,0,0,2,2,-
0.089398,0.045767,-0.021503,0,0,0,-0.076390398,-0.131168299,0.519486632,0.840888235,-0.874277,0.028169,0.025886,0.000205,0,0,0,-0.042727632,0.186871003,-0.399463529,0.896483389,-0.786368,238.3,182.2741176,500.8965217,364.0069565,464.275,384.405,461.07,417.56,458.2823305,435.0263489,449.7497178,450.3936124,440.480614,465.4525434,430.42,480,0,0,0,2,2,-
0.089398,0.045767,-0.021503,0,0,0,-0.076390398,-0.131168299,0.519486632,0.840888235,-0.874277,0.028169,0.025886,0.000205,0,0,0,-0.042727632,0.186871003,-0.399463529,0.896483389,-0.786368,238.3,182.2741176,500.8965217,364.0069565,464.275,384.405,461.07,417.56,458.2823305,435.0263489,449.7497178,450.3936124,440.480614,465.4525434,430.42,480,0,0,0,2,2,-
0.089398,0.045767,-0.021503,0,0,0,-0.076390398,-0.131168299,0.519486632,0.840888235,-0.874277,0.028169,0.025886,0.000205,0,0,0,-0.042727632,0.186871003,-0.399463529,0.896483389,-0.786368,238.3,182.2741176,500.8965217,364.0069565,464.275,384.405,461.07,417.56,458.2823305,435.0263489,449.7497178,450.3936124,440.480614,465.4525434,430.42,480,0,0,0,2,2,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
